Cluster_label	Cluster	Pairwise_similarities
80	11	0.758;0.395;0.809;0.455;0.395;0.809;0.494;0.494;0.455;0.809;0.455;0.383;0.441;0.441;0.383;0.441;0.705;0.587;0.441;0.587;0.441;0.366;0.576;0.692;0.366;0.383;0.383;0.576;0.383;0.366;0.441;0.366;0.784;0.441;0.441;0.441;0.784;0.441;0.576;0.441;0.441;0.441;0.648;0.631;0.441;0.366;0.383;0.383;0.576;0.383;0.366;0.441;0.441;0.441;0.784;0.784;0.479;0.441;0.612;0.441;0.441;0.587;0.441;0.822;0.441;0.784
45	12	0.425
28	13	0.631;0.834;0.39;0.383;0.441;0.834;0.631;0.441;0.631;0.631;0.586;0.648;0.441;0.631;0.707;0.549;0.631;0.39;0.383;0.441;0.834;0.631;0.441;0.631;0.641;0.39;0.39;0.442;0.713;0.373;0.383;0.383;0.434;0.549;0.366;0.441;0.479;0.441;0.441;0.631;0.441;0.631;0.68;0.631;0.441
94	14	0.395;0.395;0.668;0.395;0.395;0.668;0.441;0.672;0.441;0.441;0.441;0.849;0.849;0.849;0.849;0.849;0.788;0.849;0.867;0.849;0.441
58	15	0.441;0.479;0.441;0.383;0.479;0.441;0.39;0.692;0.576;0.692;0.576;0.678;0.39;0.576;0.692;0.731;0.576;0.39;0.576;0.648;0.648;0.39;0.576;0.576;0.39;0.648;0.39;0.39
2	16	0.383;0.538;0.383
19	17	0.395;0.383;0.383;0.383;0.395;0.395;0.395;0.549;0.549;0.648
29	18	0.434;0.383;0.549;0.425;0.648;0.383;0.678;0.441;0.434;0.383;0.366;0.383;0.441;0.549;0.425
17	19	0.538;0.828;0.441;0.0;0.77;0.752;0.693;0.538;0.441;0.0;0.538;0.801;0.441;0.441;0.0;0.816;0.752;0.816;0.0;0.441;0.441;0.441;0.0;0.0;0.0;0.693;0.816;0.693
75	20	0.441;0.459;0.631;0.441;0.441;0.459;0.441;0.441;0.441;0.459;0.499;0.499;0.841;0.441;0.77
7	21	0.441;0.441;0.441;0.441;0.441;0.441
16	22	0.425;0.425;0.678;0.678;0.441;0.457;0.441;0.66;0.441;0.773
40	23	0.704;0.538;0.6;0.656;0.6;0.538;0.707;0.383;0.707;0.538;0.383;0.538;0.383;0.707;0.383
59	24	0.6;0.644;0.441;0.828;0.441;0.441
31	25	0.383;0.834;0.383;0.834;0.434;0.549;0.383;0.434;0.834;0.383
194	26	0.479;0.66;0.66;0.585;0.656;0.576;0.441;0.66;0.441;0.441
4	27	0.705;0.705;0.631;0.395;0.705;0.587;0.395;0.648;0.395;0.395
153	28	0.692;0.692;0.383;0.692;0.692;0.383;0.692;0.867;0.692;0.383
27	29	0.39;0.586;0.586;0.744;0.383;0.576
53	30	0.441
151	31	0.692;0.441;0.441;0.441;0.441;0.441;0.441;0.479;0.538;0.479
219	32	1.0
24	33	0.441;0.441;0.441;0.479;0.479;0.538
25	34	0.434;0.549;0.366;0.434;0.801;0.366
84	35	0.0;0.425;0.796;0.0;0.0;0.425
86	36	0.467;0.467;0.467;0.796;0.78;0.735
89	37	0.784;0.784;0.809;0.784;0.809;0.809
116	38	0.488;0.479;0.873
156	39	0.692
229	40	0.441
268	41	1.0
1	42	0.609
3	43	0.441;0.425;0.441;0.425;0.441;0.425
9	44	0.678;0.383;0.479
63	45	1.0
77	46	1.0
79	47	0.744;0.724;0.735
88	48	0.66;0.678;0.629;0.432;0.668;0.425
98	49	0.441;0.692;0.434;0.441;0.383;0.383
106	50	1.0
160	51	0.648;0.441;0.455
324	52	1.0
20	53	0.425
26	54	0.441;0.648;0.434
34	55	1.0
46	56	0.0
52	57	0.849;0.939;0.366
102	58	1.0
140	59	0.0;0.0;0.85
152	60	0.59
171	61	1.0
189	62	0.366;0.366;0.366
218	63	0.649;0.939;0.649
238	64	0.538
343	65	1.0
367	66	0.383;0.646;0.441
11	67	0.939
22	68	0.648
23	69	0.0
91	70	0.796
99	71	0.809
120	72	1.0
128	73	1.0
157	74	1.0
162	75	1.0
163	76	1.0
166	77	0.903
185	78	0.425
187	79	1.0
206	80	0.692
225	81	1.0
266	82	1.0
277	83	1.0
284	84	1.0
301	85	1.0
320	86	1.0
364	87	0.724
387	88	0.0
392	89	1.0
420	90	0.441
423	91	1.0
424	92	0.0
476	93	0.0
